M,D,N69,N70,N71,N72
1,1,305,133,207,150
1,2,159,195,225,328
1,3,251,336,246,42
1,4,215,99,264,28
1,5,101,33,265,338
1,6,224,285,242,36
1,7,306,159,292,111
1,8,199,116,287,206
1,9,194,53,338,197
1,10,325,101,231,37
1,11,329,144,90,174
1,12,221,152,228,126
1,13,318,330,183,298
1,14,238,71,285,341
1,15,17,75,325,221
1,16,121,136,74,309
11,1,19,243,366,107
11,2,34,205,190,214
11,3,348,294,300,232
11,4,266,39,166,339
11,5,310,286,211,223
11,6,76,245,186,211
11,7,51,72,17,299
11,8,97,119,260,312
11,9,80,176,237,151
11,10,282,63,227,257
11,11,46,123,244,159
11,12,66,255,259,66
11,13,126,272,247,124
11,14,127,11,316,237
11,15,131,362,318,176
11,16,107,197,120,209
11,17,143,6,298,284
11,18,146,280,175,160
11,19,203,252,333,270
11,20,185,98,125,301
11,21,156,35,330,287
11,22,9,253,93,102
11,23,182,193,181,320
11,24,230,81,62,180
11,25,132,23,97,25
11,26,309,52,209,344
